dt,shop_cash,doc_id,product,category,amount,price,discount
2025-05-17,22_1,r13kwxF1_2025-05-17,тарелка,посуда,40,160,16.0
2025-05-17,22_1,r13kwxF1_2025-05-17,стиральный порошок,бытовая химия,92,500,100.0
2025-05-17,22_1,r13kwxF1_2025-05-17,ложка,посуда,91,90,18.0
2025-05-17,22_1,r13kwxF1_2025-05-17,постельное белье,текстиль,60,1900,285.0
2025-05-17,22_1,r13kwxF1_2025-05-17,кружка,посуда,97,180,36.0
2025-05-17,22_1,r13kwxF1_2025-05-17,плед,текстиль,48,2000,100.0
2025-05-17,22_1,3jHK6MPj_2025-05-17,подушка,текстиль,35,3200,160.0
2025-05-17,22_1,3jHK6MPj_2025-05-17,соль для ПММ,бытовая химия,87,200,40.0
2025-05-17,22_1,GxhlFpdx_2025-05-17,кружка,посуда,58,180,36.0
2025-05-17,22_1,GxhlFpdx_2025-05-17,гель для мытья посуды,бытовая химия,59,150,0.0
2025-05-17,22_1,GxhlFpdx_2025-05-17,тарелка,посуда,17,160,32.0
2025-05-17,22_1,GxhlFpdx_2025-05-17,пятновыводитель,бытовая химия,51,300,30.0
2025-05-17,22_1,GxhlFpdx_2025-05-17,стиральный порошок,бытовая химия,72,500,0.0
2025-05-17,22_1,GxhlFpdx_2025-05-17,вилка,посуда,28,85,17.0
